measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,118,Republic of Suriname,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,404.1278592678985,511.1577120709008,306.32682715873443
1,Deaths,116,Saint Lucia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,86.98081732378152,118.46205660269312,64.87215357663779
1,Deaths,121,Plurinational State of Bolivia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,3435.4303671294447,4553.478608714282,2583.7496595397265
1,Deaths,119,Republic of Trinidad and Tobago,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1284.6408805418814,1649.5989148978902,995.1373734146972
1,Deaths,123,Republic of Peru,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8167.211049603368,11113.293928316309,5821.33974077914
1,Deaths,126,Republic of Costa Rica,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1693.7544626020124,2071.5050587480355,1305.5476160258631
1,Deaths,122,Republic of Ecuador,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4302.24250739239,5369.143805001421,3296.0216986653286
1,Deaths,128,Republic of Guatemala,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,3548.639708940994,4671.158305208716,2676.9701746890737
1,Deaths,125,Republic of Colombia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,15228.838107575875,19547.28263625581,11934.31280474084
1,Deaths,129,Republic of Honduras,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,2478.6342948227766,3126.179597700339,1924.6348300137936
1,Deaths,127,Republic of El Salvador,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1619.1541803673224,2191.459319114508,1201.6374925006548
1,Deaths,131,Republic of Nicaragua,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1617.6657575638865,2073.8424979155047,1226.3436873629662
1,Deaths,130,United Mexican States,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,50562.84565051863,59905.70240087395,40325.34438785351
1,Deaths,132,Republic of Panama,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,899.8065020973771,1187.457561664857,663.4256369236942
1,Deaths,135,Federative Republic of Brazil,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,141737.27647318135,168152.65408836838,115777.60785884372
1,Deaths,133,Bolivarian Republic of Venezuela,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,16896.43589396936,22051.91022605081,12350.596554478136
1,Deaths,140,Kingdom of Bahrain,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,662.8777381702968,803.629058466797,517.3139476497381
1,Deaths,142,Islamic Republic of Iran,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,34058.90283252591,42311.74009440619,26763.28522647207
1,Deaths,136,Republic of Paraguay,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4558.404135009767,5721.887844548333,3515.7281289386733
1,Deaths,139,People's Democratic Republic of Algeria,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,27964.19570480688,33703.84077797323,22781.209775541294
1,Deaths,141,Arab Republic of Egypt,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,96910.06658568625,114827.53282633884,80886.73741912698
1,Deaths,145,State of Kuwait,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1386.554168688524,1658.5564523284204,1132.1196058692794
1,Deaths,143,Republic of Iraq,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,35023.72203596737,41055.8068139733,29357.09504791712
1,Deaths,144,Hashemite Kingdom of Jordan,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,6661.222322012415,7811.166877469104,5544.141933119317
1,Deaths,146,Lebanese Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,5325.195717991835,6416.019040532747,4343.411319841548
1,Deaths,148,Kingdom of Morocco,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,23959.04782108246,28969.004917302675,18953.78898878109
1,Deaths,149,Palestine,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,2234.54088823991,2610.816527722738,1869.9123723137373
1,Deaths,147,State of Libya,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,5901.885828198587,6927.426503483552,4864.115920171927
1,Deaths,153,Syrian Arab Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,13669.83685759086,16854.174430280393,11011.780750618516
1,Deaths,151,State of Qatar,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,372.732907494438,480.2175845547792,288.4834490385636
1,Deaths,150,Sultanate of Oman,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,915.8086567165232,1152.523352358438,735.5015511045984
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1313.099003050399,1658.8198799443528,993.8771270086736
1,Deaths,152,Kingdom of Saudi Arabia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8144.129632608499,9956.87732844046,6564.53439153788
1,Deaths,154,Republic of Tunisia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,12337.45769382848,14598.015948421717,10355.053844724502
1,Deaths,157,Republic of Yemen,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,15129.526223110412,19012.0859884411,11581.675555216185
1,Deaths,155,Republic of Turkey,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,91123.34781845928,104818.03071048832,76252.89529387958
1,Deaths,162,Kingdom of Bhutan,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,443.1154092061975,595.3329052886011,327.89709394132944
1,Deaths,160,Islamic Republic of Afghanistan,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,7793.920105989793,10229.8240852995,5956.47535377717
1,Deaths,163,Republic of India,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1153978.1125811453,1391936.479925346,957297.58614189
1,Deaths,165,Islamic Republic of Pakistan,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,147282.83456943178,183753.16317259573,118129.21666562196
1,Deaths,161,People's Republic of Bangladesh,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,199148.5154499574,234854.35835560304,171870.35408284242
1,Deaths,170,Republic of the Congo,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1607.6985020394918,2225.1261410337297,1169.8331008150492
1,Deaths,168,Republic of Angola,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,7608.986593699164,10560.884161251144,5452.60866928601
1,Deaths,164,Federal Democratic Republic of Nepal,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,28155.049464298976,34751.027649113305,22493.205680804364
1,Deaths,169,Central African Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,2000.2633079896916,2725.294712071579,1422.730375830291
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,20038.335251899967,25588.1869891854,14798.089622887674
1,Deaths,173,Gabonese Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,567.5050696178125,758.3266161997725,426.4572851716372
1,Deaths,172,Republic of Equatorial Guinea,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,357.9877728977196,475.5780632529838,249.10237871235933
1,Deaths,176,Union of the Comoros,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,180.3510798705883,232.122780308849,138.1446838124117
1,Deaths,181,Republic of Madagascar,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8859.79547741898,11014.324996532145,7133.151848369982
1,Deaths,175,Republic of Burundi,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,2432.080807148637,3267.37939784848,1728.9529122860645
