ctry,iso3,sex_group,value
Republic of Moldova,MDA,male,313424
Romania,ROU,male,1552540.5
Russian Federation,RUS,male,13079311
Slovakia,SVK,male,449855.5
Ukraine,UKR,male,2780768.5
Denmark,DNK,male,484509.5
Estonia,EST,male,112111
Faroe Islands,FRO,male,5652
Finland,FIN,male,427662
Guernsey,GGY,male,4679.5
Iceland,ISL,male,35963
Ireland,IRL,male,505582
Isle of Man,IMN,male,6235
Jersey,JEY,male,7669
Latvia,LVA,male,152571.5
Lithuania,LTU,male,217917.5
Norway,NOR,male,467837.5
Sweden,SWE,male,936259
United Kingdom,GBR,male,6131345.5
Albania,ALB,male,249614
Andorra,AND,male,5062.5
Bosnia and Herzegovina,BIH,male,217904
Croatia,HRV,male,283451.5
Gibraltar,GIB,male,3525.5
Greece,GRC,male,715094
Holy See,VAT,male,15
Italy,ITA,male,3714305
Kosovo (under UNSC res. 1244),NA,male,188381
Malta,MLT,male,36281
Montenegro,MNE,male,60185.5
North Macedonia,MKD,male,159933
Portugal,PRT,male,688247
San Marino,SMR,male,2173
Serbia,SRB,male,490002.5
Slovenia,SVN,male,162230.5
Spain,ESP,male,3269903
Austria,AUT,male,671545
Belgium,BEL,male,975605
France,FRA,male,5707610.5
Germany,DEU,male,6041382.5
Liechtenstein,LIE,male,3001.5
Luxembourg,LUX,male,53771
Monaco,MCO,male,2601.5
Netherlands,NLD,male,1405816
Switzerland,CHE,male,683664.5
Anguilla,AIA,male,1252.5
Antigua and Barbuda,ATG,male,8624.5
Aruba,ABW,male,9456.5
Bahamas,BHS,male,37033.5
Barbados,BRB,male,25111.5
"Bonaire, Sint Eustatius and Saba",BES,male,2452
British Virgin Islands,VGB,male,2996
Cayman Islands,CYM,male,6017.5
Cuba,CUB,male,882018
Curaçao,CUW,male,14395
Dominica,DMA,male,6020
Dominican Republic,DOM,male,1554391.5
Grenada,GRD,male,11848.5
Guadeloupe,GLP,male,31334.5
Haiti,HTI,male,1852090
Jamaica,JAM,male,276488.5
Martinique,MTQ,male,26178
Montserrat,MSR,male,350
Puerto Rico,PRI,male,199996
Saint Barthélemy,BLM,male,1125
Saint Kitts and Nevis,KNA,male,4267
Saint Lucia,LCA,male,16265.5
Saint Martin (French part),MAF,male,2927.5
Saint Vincent and the Grenadines,VCT,male,11141.5
Sint Maarten (Dutch part),SXM,male,3596.5
Trinidad and Tobago,TTO,male,137915.5
Turks and Caicos Islands,TCA,male,3657
United States Virgin Islands,VIR,male,7359
Belize,BLZ,male,56778
Costa Rica,CRI,male,504012.5
El Salvador,SLV,male,817546
Guatemala,GTM,male,2955290
Honduras,HND,male,1688693
Mexico,MEX,male,16446937.999999998
Nicaragua,NIC,male,1011256.5
Panama,PAN,male,577767
Argentina,ARG,male,5187490
Bolivia (Plurinational State of),BOL,male,1877407.5
Brazil,BRA,male,21470798
Chile,CHL,male,1741074
Colombia,COL,male,5500279.5
Ecuador,ECU,male,2295028.5
Falkland Islands (Malvinas),FLK,male,280.5
French Guiana,GUF,male,47306
Guyana,GUY,male,122955.5
Paraguay,PRY,male,1007083.5
Peru,PER,male,4195766
Suriname,SUR,male,82997.5
Uruguay,URY,male,324512
Venezuela (Bolivarian Republic of),VEN,male,3798528
Bermuda,BMU,male,4606
Canada,CAN,male,3077365.5
Greenland,GRL,male,5978.5
Saint Pierre and Miquelon,SPM,male,412
United States of America,USA,male,31003572.5
Australia,AUS,male,2451048.5
New Zealand,NZL,male,487906.5
Fiji,FJI,male,128525.5
New Caledonia,NCL,male,31724.5
Papua New Guinea,PNG,male,1823609.5
Solomon Islands,SLB,male,154271.5
Vanuatu,VUT,male,63745.5
Guam,GUM,male,22346.5
Kiribati,KIR,male,23424
Marshall Islands,MHL,male,6953
Micronesia (Fed. States of),FSM,male,18627
Nauru,NRU,male,2335
Northern Mariana Islands,MNP,male,5376.5
Palau,PLW,male,1715
American Samoa,ASM,male,6580
Cook Islands,COK,male,1836.5
French Polynesia,PYF,male,28649
Niue,NIU,male,209.5
Samoa,WSM,male,43202
Tokelau,TKL,male,322.5
Tonga,TON,male,19256
Tuvalu,TUV,male,1687
Wallis and Futuna Islands,WLF,male,1243.5
Burundi,BDI,total,6210183.5
Comoros,COM,total,318056.5
Djibouti,DJI,total,340978.5
Eritrea,ERI,total,1342257.5
Ethiopia,ETH,total,50660304.5
Kenya,KEN,total,20722868.5
Madagascar,MDG,total,12344896
Malawi,MWI,total,8719545
Mauritius,MUS,total,192620.5
Mayotte,MYT,total,137654.5
Mozambique,MOZ,total,15053370.5
Réunion,REU,total,185456.5
Rwanda,RWA,total,5265212.5
Seychelles,SYC,total,25769
Somalia,SOM,total,8569565
South Sudan,SSD,total,4576301
Uganda,UGA,total,21378767
United Republic of Tanzania,TZA,total,28461636
Zambia,ZMB,total,8694764.5
Zimbabwe,ZWE,total,6752564
Angola,AGO,total,16380265.5
Cameroon,CMR,total,11848591.5
Central African Republic,CAF,total,2533262
Chad,TCD,total,9029184.5
Congo,COG,total,2527792
Democratic Republic of the Congo,COD,total,48756676.5
Equatorial Guinea,GNQ,total,692541.5
Gabon,GAB,total,910978
Sao Tome and Principe,STP,total,88378.5
Algeria,DZA,total,14144415.5
Egypt,EGY,total,37149814
Libya,LBY,total,2042749
Morocco,MAR,total,9818525.5
Sudan,SDN,total,20342110
Tunisia,TUN,total,2981163.5
Western Sahara,ESH,total,135556
Botswana,BWA,total,800654
Eswatini,SWZ,total,414299
Lesotho,LSO,total,807250
Namibia,NAM,total,1105007
South Africa,ZAF,total,16488885.999999998
Benin,BEN,total,5903530
Burkina Faso,BFA,total,9763217
Cabo Verde,CPV,total,137743
Côte d'Ivoire,CIV,total,12864067.5
Gambia,GMB,total,1098855.5
Ghana,GHA,total,12224102
Guinea,GIN,total,5941238.5
Guinea-Bissau,GNB,total,845021
Liberia,LBR,total,2197035
Mali,MLI,total,11043184.5
Mauritania,MRT,total,2161462
Niger,NER,total,12286170.5
Nigeria,NGA,total,94553713
Saint Helena,SHN,total,729
Senegal,SEN,total,6983294
Sierra Leone,SLE,total,3259980
Togo,TGO,total,3710807
Kazakhstan,KAZ,total,6005327
Kyrgyzstan,KGZ,total,2311036
Tajikistan,TJK,total,3792924
Turkmenistan,TKM,total,2332351
Uzbekistan,UZB,total,11006245.5
China,CHN,total,236001302.5
"China, Hong Kong SAR",HKG,total,796300
"China, Macao SAR",MAC,total,100622.5
"China, Taiwan Province of China",TWN,total,2785149
Dem. People's Republic of Korea,PRK,total,5014338.5
Japan,JPN,total,14488333
Mongolia,MNG,total,1120096
Republic of Korea,KOR,total,5677259.5
Afghanistan,AFG,total,17919319.5
Bangladesh,BGD,total,48629551
Bhutan,BTN,total,168770
India,IND,total,360337993.5
Iran (Islamic Republic of),IRN,total,20693926
Maldives,MDV,total,105456.5
Nepal,NPL,total,8526401
Pakistan,PAK,total,91670867
Sri Lanka,LKA,total,5136746
Brunei Darussalam,BRN,total,96491
Cambodia,KHM,total,5246427.5
Indonesia,IDN,total,70113728
Lao People's Democratic Republic,LAO,total,2342243
Malaysia,MYS,total,7828946.5
Myanmar,MMR,total,13271293.5
Philippines,PHL,total,32867555
Singapore,SGP,total,682387.5
Thailand,THA,total,10819667.5
Timor-Leste,TLS,total,473838
Viet Nam,VNM,total,23688985
Armenia,ARM,total,575296
Azerbaijan,AZE,total,2305545.5
Bahrain,BHR,total,298109
Cyprus,CYP,total,215921
Georgia,GEO,total,801127
Iraq,IRQ,total,16718594.000000002
Israel,ISR,total,2556095.5
Jordan,JOR,total,3572035
Kuwait,KWT,total,900151
Lebanon,LBN,total,1542436.5
Oman,OMN,total,1273818
Qatar,QAT,total,451646.5
Saudi Arabia,SAU,total,8015843.5
State of Palestine,PSE,total,2075523.0000000002
Syrian Arab Republic,SYR,total,7157553.5
Türkiye,TUR,total,19059641
United Arab Emirates,ARE,total,1738803.5
Yemen,YEM,total,16239297.5
Belarus,BLR,total,1520065.5
Bulgaria,BGR,total,987987.5
Czechia,CZE,total,1694275.5
Hungary,HUN,total,1403128.5
Poland,POL,total,5851936
Republic of Moldova,MDA,total,613175.5
Romania,ROU,total,3035339.5
Russian Federation,RUS,total,25473877
Slovakia,SVK,total,877766.5
Ukraine,UKR,total,5394111.5
Denmark,DNK,total,943788
Estonia,EST,total,218318
Faroe Islands,FRO,total,11028.5
Finland,FIN,total,836537.5
Guernsey,GGY,total,9084.5
Iceland,ISL,total,69977.5
Ireland,IRL,total,988245
Isle of Man,IMN,total,12223.5
Jersey,JEY,total,15057
Latvia,LVA,total,295386.5
Lithuania,LTU,total,424894
Norway,NOR,total,911036
Sweden,SWE,total,1820110
United Kingdom,GBR,total,11957114.5
Albania,ALB,total,479161.5
Andorra,AND,total,9903
Bosnia and Herzegovina,BIH,total,421064
Croatia,HRV,total,550841.5
Gibraltar,GIB,total,6845
Greece,GRC,total,1391685
Holy See,VAT,total,30
Italy,ITA,total,7225872.5
Kosovo (under UNSC res. 1244),NA,total,362009.5
Malta,MLT,total,70093.5
Montenegro,MNE,total,116147.5
North Macedonia,MKD,total,312649
Portugal,PRT,total,1344902.5
San Marino,SMR,total,4282.5
Serbia,SRB,total,971974
Slovenia,SVN,total,316273
Spain,ESP,total,6352429
Austria,AUT,total,1305892
Belgium,BEL,total,1908117.5
France,FRA,total,11151609
Germany,DEU,total,11765368.5
Liechtenstein,LIE,total,5681
Luxembourg,LUX,total,105218
Monaco,MCO,total,5134
Netherlands,NLD,total,2744866.5
Switzerland,CHE,total,1331559
Anguilla,AIA,total,2467.5
Antigua and Barbuda,ATG,total,16999.5
Aruba,ABW,total,18549.5
Bahamas,BHS,total,73210.5
Barbados,BRB,total,49371.5
"Bonaire, Sint Eustatius and Saba",BES,total,4787
British Virgin Islands,VGB,total,5902
Cayman Islands,CYM,total,11901
Cuba,CUB,total,1709629.5
Curaçao,CUW,total,28264
Dominica,DMA,total,12045
Dominican Republic,DOM,total,3049697
Grenada,GRD,total,23236
Guadeloupe,GLP,total,61973
Haiti,HTI,total,3674182.5
Jamaica,JAM,total,543368
Martinique,MTQ,total,52116.5
Montserrat,MSR,total,743.5
Puerto Rico,PRI,total,389201
Saint Barthélemy,BLM,total,2231.5
Saint Kitts and Nevis,KNA,total,8573
Saint Lucia,LCA,total,32038.5
Saint Martin (French part),MAF,total,5814
Saint Vincent and the Grenadines,VCT,total,21933
Sint Maarten (Dutch part),SXM,total,6652
Trinidad and Tobago,TTO,total,270934
Turks and Caicos Islands,TCA,total,7492.5
United States Virgin Islands,VIR,total,14157
Belize,BLZ,total,110968
Costa Rica,CRI,total,986948.5
El Salvador,SLV,total,1590681
Guatemala,GTM,total,5824914.5
Honduras,HND,total,3299494
Mexico,MEX,total,32328517
Nicaragua,NIC,total,1992759.5
Panama,PAN,total,1127003.5
Argentina,ARG,total,10105270.5
Bolivia (Plurinational State of),BOL,total,3690683.5
Brazil,BRA,total,42092914.5
Chile,CHL,total,3417558.5
Colombia,COL,total,10777030.5
Ecuador,ECU,total,4495864
Falkland Islands (Malvinas),FLK,total,565
French Guiana,GUF,total,94660
Guyana,GUY,total,242313.5
Paraguay,PRY,total,1969814
Peru,PER,total,8244170
Suriname,SUR,total,163173
Uruguay,URY,total,633076.5
Venezuela (Bolivarian Republic of),VEN,total,7401740.5
Bermuda,BMU,total,8979
Canada,CAN,total,6014548.5
Greenland,GRL,total,11633.5
Saint Pierre and Miquelon,SPM,total,816.5
United States of America,USA,total,60433592.5
Australia,AUS,total,4769212.5
New Zealand,NZL,total,950495
Fiji,FJI,total,253080
New Caledonia,NCL,total,62398
Papua New Guinea,PNG,total,3512136
Solomon Islands,SLB,total,298906.5
Vanuatu,VUT,total,123720.5
Guam,GUM,total,43325
Kiribati,KIR,total,46291.5
Marshall Islands,MHL,total,13475
Micronesia (Fed. States of),FSM,total,36187.5
Nauru,NRU,total,4534
Northern Mariana Islands,MNP,total,10196
Palau,PLW,total,3287
American Samoa,ASM,total,13073.5
Cook Islands,COK,total,3533
French Polynesia,PYF,total,55474
Niue,NIU,total,424.5
Samoa,WSM,total,83909
Tokelau,TKL,total,646
Tonga,TON,total,37261.5
Tuvalu,TUV,total,3200
Wallis and Futuna Islands,WLF,total,2421.5
